Supplier,SKU,Product,Department,Type,Supplier price (net),Our price (net x 3.15),Margin $,From price?,Photo URL
A-Class,1825,1825,Living Room,Sofas,580.00,1827.00,1247.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/1800.jpg
A-Class,1825,1825 — 3-Pc Set,Living Room,Sofas,1450.00,4568.00,3118.00,No,https://www.aclassfurniture.ca/uploads/product_images/1800.jpg
A-Class,1825,1825 — Sofa,Living Room,Sofas,580.00,1827.00,1247.00,No,https://www.aclassfurniture.ca/uploads/product_images/1800.jpg
A-Class,1830,1830,Living Room,Sofas,540.00,1701.00,1161.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/1830AA.jpg
A-Class,1830,1830 — 3-Pc Set,Living Room,Sofas,1350.00,4252.00,2902.00,No,https://www.aclassfurniture.ca/uploads/product_images/1830AA.jpg
A-Class,1830,1830 — Sofa,Living Room,Sofas,540.00,1701.00,1161.00,No,https://www.aclassfurniture.ca/uploads/product_images/1830AA.jpg
A-Class,1840,1840,Living Room,Sofas,640.00,2016.00,1376.00,Yes,https://www.aclassfurniture.ca/assets/uploads/product_images/1840_d.jpg
A-Class,1840,1840 — 3-Pc Set,Living Room,Sofas,1600.00,5040.00,3440.00,No,https://www.aclassfurniture.ca/assets/uploads/product_images/1840_d.jpg
A-Class,1840,1840 — Sofa,Living Room,Sofas,640.00,2016.00,1376.00,No,https://www.aclassfurniture.ca/assets/uploads/product_images/1840_d.jpg
A-Class,1845,1845,Living Room,Sofas,660.00,2079.00,1419.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/SOFA_21D.jpg
A-Class,1845,1845 — 3-Pc Set,Living Room,Sofas,1650.00,5198.00,3548.00,No,https://www.aclassfurniture.ca/uploads/product_images/SOFA_21D.jpg
A-Class,1845,1845 — Sofa,Living Room,Sofas,660.00,2079.00,1419.00,No,https://www.aclassfurniture.ca/uploads/product_images/SOFA_21D.jpg
A-Class,1850,1850,Living Room,Sofas,640.00,2016.00,1376.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/1850_D.jpg
A-Class,1850,1850 — 3-Pc Set,Living Room,Sofas,1600.00,5040.00,3440.00,No,https://www.aclassfurniture.ca/uploads/product_images/1850_D.jpg
A-Class,1850,1850 — Sofa,Living Room,Sofas,640.00,2016.00,1376.00,No,https://www.aclassfurniture.ca/uploads/product_images/1850_D.jpg
A-Class,1855,1855,Living Room,Sofas,620.00,1953.00,1333.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/SOFA_1D.jpg
A-Class,1855,1855 — 3-Pc Set,Living Room,Sofas,1550.00,4882.00,3332.00,No,https://www.aclassfurniture.ca/uploads/product_images/SOFA_1D.jpg
A-Class,1855,1855 — Sofa,Living Room,Sofas,620.00,1953.00,1333.00,No,https://www.aclassfurniture.ca/uploads/product_images/SOFA_1D.jpg
A-Class,1865,1865,Living Room,Sofas,600.00,1890.00,1290.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/so4.jpg
A-Class,1865,1865 — 3-Pc Set,Living Room,Sofas,1500.00,4725.00,3225.00,No,https://www.aclassfurniture.ca/uploads/product_images/so4.jpg
A-Class,1865,1865 — Sofa,Living Room,Sofas,600.00,1890.00,1290.00,No,https://www.aclassfurniture.ca/uploads/product_images/so4.jpg
A-Class,1870,1870,Living Room,Sofas,620.00,1953.00,1333.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/1870AA.jpg
A-Class,1870,1870 — 3-Pc Set,Living Room,Sofas,1550.00,4882.00,3332.00,No,https://www.aclassfurniture.ca/uploads/product_images/1870AA.jpg
A-Class,1870,1870 — Sofa,Living Room,Sofas,620.00,1953.00,1333.00,No,https://www.aclassfurniture.ca/uploads/product_images/1870AA.jpg
A-Class,1890,1890,Living Room,Sectionals,625.00,1969.00,1344.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/se14.jpg
A-Class,1890,1890 — Sofa,Living Room,Sofas,625.00,1969.00,1344.00,No,https://www.aclassfurniture.ca/uploads/product_images/se14.jpg
A-Class,2020,2020,Living Room,Sofas,520.00,1638.00,1118.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/2020.jpg
A-Class,2020,2020 — 3-Pc Set,Living Room,Sofas,1300.00,4095.00,2795.00,No,https://www.aclassfurniture.ca/uploads/product_images/2020.jpg
A-Class,2020,2020 — Sofa,Living Room,Sofas,435.00,1370.00,935.00,No,https://www.aclassfurniture.ca/uploads/product_images/2020.jpg
A-Class,2050,2050,Living Room,Sectionals,495.00,1559.00,1064.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/20502.jpg
A-Class,2050,2050 — Sofa,Living Room,Sofas,495.00,1559.00,1064.00,No,https://www.aclassfurniture.ca/uploads/product_images/20502.jpg
A-Class,2060,2060,Living Room,Sectionals,1250.00,3938.00,2688.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/assets_uploads_product_images_20602.jpg
A-Class,2060,2060 — Sectional,Living Room,Sectionals,1250.00,3938.00,2688.00,No,https://www.aclassfurniture.ca/uploads/product_images/assets_uploads_product_images_20602.jpg
A-Class,2060,2060 — Sofa,Living Room,Sofas,575.00,1811.00,1236.00,No,https://www.aclassfurniture.ca/uploads/product_images/assets_uploads_product_images_20602.jpg
A-Class,2070,2070,Living Room,Sofas,520.00,1638.00,1118.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/2070D.jpg
A-Class,2070,2070 Sectional,Living Room,Sectionals,520.00,1638.00,1118.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/2070_a.jpg
A-Class,2070,2070 — 3-Pc Set,Living Room,Sofas,1300.00,4095.00,2795.00,No,https://www.aclassfurniture.ca/uploads/product_images/2070D.jpg
A-Class,2070,2070 — Sofa,Living Room,Sofas,435.00,1370.00,935.00,No,https://www.aclassfurniture.ca/uploads/product_images/2070D.jpg
A-Class,2110,2110,Living Room,Sofas,520.00,1638.00,1118.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/so16.jpg
