product,sku,supplier,department,type,displayed_price,expected_price,pricelist_line,status,issue,correction
Amiyah,L2865,Matrix,,,Removed,,,FAIL,"no 'None' line exists for this collection; $9,762 is the '3 pc set' line","Removed from the storefront — collection heading, not a sellable product"
Baltimore,B853,Matrix,,,Removed,,,FAIL,"no 'None' line exists for this collection; $5,667 is the 'queen complete set w/ lift up' line","Removed from the storefront — collection heading, not a sellable product"
Sterling,1714,Matrix,,,Removed,,,FAIL,"no 'None' line exists for this collection; $5,352 is the 'queen complete set w/ lift up' line","Removed from the storefront — collection heading, not a sellable product"
Sterling,1814,Matrix,,,Removed,,,FAIL,"no 'None' line exists for this collection; $5,352 is the 'queen complete set w/ lift up' line","Removed from the storefront — collection heading, not a sellable product"
1366T Youth — Rowan Collection,1366TYouth,Mazin,Bedroom,youth,On request,,,FAIL,no 'None' line in this collection; $353 is 'Mirror',Price withdrawn — now Price on request (no supplier line proves it)
1718BR Bedroom — Begonia Collection,1718BRBedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $315 is 'Mirror',Price withdrawn — now Price on request (no supplier line proves it)
1718NC Bedroom — Begonia Collection,1718NCBedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $315 is 'Mirror',Price withdrawn — now Price on request (no supplier line proves it)
1730NB Bedroom — Cotterill Collection,1730NBBedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $230 is 'Full Footboard & Slats',Price withdrawn — now Price on request (no supplier line proves it)
2322 Bedroom — York Collection,2322Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $258 is 'Full/Twin Side Rails',Price withdrawn — now Price on request (no supplier line proves it)
2336 Bedroom — Charlotte Collection,2336Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $425 is 'Mirror w/beveled Hickory Acacia',Price withdrawn — now Price on request (no supplier line proves it)
2384 Bedroom — Linea Collection,2384Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $290 is 'Wall Panels for Night Stand Piece',Price withdrawn — now Price on request (no supplier line proves it)
2390 Bedroom — Lumin Collection,2390Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $488 is 'Mirror w/LED',Price withdrawn — now Price on request (no supplier line proves it)
2391 Bedroom — Noctis Collection,2391Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $539 is 'Mirror',Price withdrawn — now Price on request (no supplier line proves it)
2392 Bedroom — Bridgepoint Collection,2392Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $293 is 'Eastern King/Queen Side Rails',Price withdrawn — now Price on request (no supplier line proves it)
2393 Bedroom — Dalston Collection,2393Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $268 is 'Mirror',Price withdrawn — now Price on request (no supplier line proves it)
2399 Bedroom — Emerson Collection,2399Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $945 is 'Queen Uph Bed in a Box',Price withdrawn — now Price on request (no supplier line proves it)
2411 Bedroom — Fitzroy Collection,2411Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,"no 'None' line in this collection; $1,969 is 'Queen Bed w/Fireplace Corduroy'",Price withdrawn — now Price on request (no supplier line proves it)
2418 Bedroom — Oakmont Collection,2418Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $400 is 'Eastern King/Queen Side Rails',Price withdrawn — now Price on request (no supplier line proves it)
2424 Bedroom — Gilmartin Collection,2424Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,"no 'None' line in this collection; $1,030 is 'Eastern King/Queen Side Rails'",Price withdrawn — now Price on request (no supplier line proves it)
2425 Bedroom — Garrison Collection,2425Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $337 is 'Eastern King/Queen Side Rails',Price withdrawn — now Price on request (no supplier line proves it)
2434SV Bedroom — Anatole Collection,2434SVBedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $621 is 'Eastern King/Queen Side Rails',Price withdrawn — now Price on request (no supplier line proves it)
2447 Bedroom — Matisse Collection,2447Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $331 is 'Side Chair Fabric',Price withdrawn — now Price on request (no supplier line proves it)
2447PN Bedroom — Matisse Collection,2447PNBedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $331 is 'Side Chair Fabric',Price withdrawn — now Price on request (no supplier line proves it)
2451 Bedroom — Montrose Collection,2451Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $365 is 'Eastern King/Queen Side Rails',Price withdrawn — now Price on request (no supplier line proves it)
2455 Bedroom — Orlo Collection,2455Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $425 is 'Mirror w/LED Lacquer',Price withdrawn — now Price on request (no supplier line proves it)
2455NBK Bedroom — Orlo Collection,2455NBKBedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $425 is 'Mirror w/LED Lacquer',Price withdrawn — now Price on request (no supplier line proves it)
2455NWH  Bedroom — Orlo Collection,2455NWHBedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $425 is 'Mirror w/LED Lacquer',Price withdrawn — now Price on request (no supplier line proves it)
2457 Bedroom — Ripple Collection,2457Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $504 is 'Mrror w/LED Faux Marble Top',Price withdrawn — now Price on request (no supplier line proves it)
2473 Bedroom — Buckingham Collection,2473Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $721 is 'Eastern King/Queen Side Rails',Price withdrawn — now Price on request (no supplier line proves it)
2496 Bedroom — Aeon Collection,2496Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $535 is 'Mirror Bleached & veneer',Price withdrawn — now Price on request (no supplier line proves it)
Aeon — Bed,2496,Mazin,Bedroom,beds,On request,,,FAIL,"shows $2,079 (= 'King Uph Bed Bleached & veneer') but this item is 'Queen Uph Bed Bleached & veneer' = $1,575",Price withdrawn — now Price on request (no supplier line proves it)
Aria Dresser Beige,B2011,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,194 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Baltimore Dresser Dark Grey,B851,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,257 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Baltimore Dresser Dark Grey,B853,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,257 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Baltimore Dresser Dark Walnut,B851,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,257 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Baltimore Dresser Dark Walnut,B853,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,257 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Berlin Dresser Grey,B2251,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,950 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Bristal Dresser Beige,B1781,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,572 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Bronco Dresser Grey,B2031,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,351 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Bronco Full bed Grey,B2031,Matrix,Bedroom,beds,On request,,,FAIL,"no 'bed' line exists for this collection; $2,139 is the 'queen bed' line",Price withdrawn — now Price on request (no supplier line proves it)
Brooklyn Dresser Gun Metal,B1161,Matrix,Bedroom,dressers,On request,,,FAIL,no 'dresser' line exists for this collection; $847 is the 'dresser & mirror' line,Price withdrawn — now Price on request (no supplier line proves it)
Brooklyn Dresser White,B1161,Matrix,Bedroom,dressers,On request,,,FAIL,no 'dresser' line exists for this collection; $847 is the 'dresser & mirror' line,Price withdrawn — now Price on request (no supplier line proves it)
Brooklyn Full bed Gun metal,B1161,Matrix,Bedroom,beds,On request,,,FAIL,"no 'bed' line exists for this collection; $1,194 is the 'queen bed' line",Price withdrawn — now Price on request (no supplier line proves it)
Charlotte — Bed,2336,Mazin,Bedroom,beds,On request,,,FAIL,"shows $2,788 (= 'King Storage Bed Hickory Acacia') but this item is 'Queen Storage Bed Hickory Acacia' = $2,252",Price withdrawn — now Price on request (no supplier line proves it)
Chole Dresser Grey Angly,B1681,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,887 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Crystal Dresser Black,B1391,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,666 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Crystal Dresser White,B1391,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,666 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Cypress Dresser Black,B1071,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,666 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Cypress Dresser White,B1071,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,666 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Daisy Dresser Taupe,B1551,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,509 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Denver Dresser Light Grey,B1571,Matrix,Bedroom,dressers,On request,,,FAIL,no 'dresser' line exists for this collection; $879 is the 'dresser & mirror' line,Price withdrawn — now Price on request (no supplier line proves it)
Denver Full bed Light grey,B1571,Matrix,Bedroom,beds,On request,,,FAIL,"no 'bed' line exists for this collection; $1,194 is the 'queen bed' line",Price withdrawn — now Price on request (no supplier line proves it)
Denver Twin bed Light grey,B1571,Matrix,Bedroom,beds,On request,,,FAIL,"no 'bed' line exists for this collection; $1,194 is the 'queen bed' line",Price withdrawn — now Price on request (no supplier line proves it)
Destiny Dresser Silver,B1171,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,351 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Destiny King bed Silver,B1171,Matrix,Bedroom,beds,On request,,,FAIL,"no 'bed' line exists for this collection; $2,139 is the 'queen bed' line",Price withdrawn — now Price on request (no supplier line proves it)
Disco Dresser Grey,B1961,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,792 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Elara Dresser Grey,B1941,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,194 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Ember Dresser Graphite,B1471,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,950 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Geneva Dresser Riversend,B2191,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $2,202 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Germani Dresser Brown,B1801,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,824 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Ginger King bed Gun metal,B1141,Matrix,Bedroom,beds,On request,,,FAIL,"no 'bed' line exists for this collection; $2,832 is the 'king bed + 2 nightstand =' line",Price withdrawn — now Price on request (no supplier line proves it)
Ginger King bed White,B1141,Matrix,Bedroom,beds,On request,,,FAIL,"no 'bed' line exists for this collection; $2,832 is the 'king bed + 2 nightstand =' line",Price withdrawn — now Price on request (no supplier line proves it)
Ginger Nightstand Gun metal,B1141,Matrix,Bedroom,nightstands,On request,,,FAIL,"no 'nightstand' line exists for this collection; $2,517 is the 'queen bed + 2 nightstand =' line",Price withdrawn — now Price on request (no supplier line proves it)
Ginger Nightstand White,B1141,Matrix,Bedroom,nightstands,On request,,,FAIL,"no 'nightstand' line exists for this collection; $2,517 is the 'queen bed + 2 nightstand =' line",Price withdrawn — now Price on request (no supplier line proves it)
Ginger Queen bed Gun metal,B1141,Matrix,Bedroom,beds,On request,,,FAIL,"no 'bed' line exists for this collection; $2,517 is the 'queen bed + 2 nightstand =' line",Price withdrawn — now Price on request (no supplier line proves it)
Ginger Queen bed White,B1141,Matrix,Bedroom,beds,On request,,,FAIL,"no 'bed' line exists for this collection; $2,517 is the 'queen bed + 2 nightstand =' line",Price withdrawn — now Price on request (no supplier line proves it)
Houston Dresser Walnut,B1991,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,099 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Hugo Dresser Light Grey,B2411,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,383 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Jasmine Dresser Beige Gold,B1291,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,729 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Kenzo Dresser Dark Walnut,B1441,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,288 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Laguna Dresser White,B1831,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,572 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Landmark Dresser Silver,B1861,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,729 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Laura Dresser White Gold,B1401,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,887 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Lavita Dresser Grey,B1741,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,981 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Leonor Dresser Zebra White,B1981,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,824 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Lexington Dresser Cream,B2241,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,761 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Lisbon Dresser Grey,B2261,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $2,107 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Lorenzo Dresser Grey,B1341,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $2,296 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Madrid Dresser Graphite,B1631,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $2,044 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Manchester Dresser Walnut Grey,B1911,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,792 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Monaco Dresser Beige,B1971,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $2,044 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Munich Dresser White,B1711,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,666 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Obsession Dresser White Gold,B1581,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,477 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Olympia Dresser Grey,B2201,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,729 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Passion Queen bed Milky white,B1331,Matrix,Bedroom,beds,On request,,,FAIL,"no 'bed' line exists for this collection; $2,517 is the 'king bed' line",Price withdrawn — now Price on request (no supplier line proves it)
Rachel Dresser White,B1621,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,824 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Roma Dresser Champagne,B391,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $2,359 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Roma Dresser Dark Walnut,B391,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $2,359 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Rylee Dresser Grey,B1061,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,036 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Samantha Dresser Olive Silver,B1591,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,824 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Samantha Queen bed Olive silver,B1591,Matrix,Bedroom,beds,On request,,,FAIL,"no 'bed' line exists for this collection; $2,895 is the 'king bed' line",Price withdrawn — now Price on request (no supplier line proves it)
Seville Dresser White,B2221,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,887 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Skylar Dresser Grey,B1051,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,288 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Sophia Dresser Black,B1181,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,162 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Sophia Dresser Grey,B1181,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,162 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Sophia Dresser Navy,B1181,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,162 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Sterling Dresser Silver,1714,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,194 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Sterling Dresser Silver,B2231,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,194 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Sterling Dresser White,1814,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,194 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Sterling Dresser White,B2231,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,194 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Sydney Dresser Grey,B2021,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,414 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Talia Dresser Black,B2071,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,666 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Talia Dresser White,B2071,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,666 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Treasure Dresser Grey,B1951,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,635 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Treasure Dresser White,B1951,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,635 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Venice Dresser Grey,B1921,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,887 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
Zain Dresser Grey Angly White,B1891,Matrix,Bedroom,dressers,On request,,,FAIL,"no 'dresser' line exists for this collection; $1,572 is the 'dresser & mirror' line",Price withdrawn — now Price on request (no supplier line proves it)
2423BR Dining — Junipero Collection,2423BRDining,Mazin,Dining Room,dining-sets,On request,,,FAIL,no 'None' line in this collection; $205 is 'Counter-height Chair',Price withdrawn — now Price on request (no supplier line proves it)
2447-102 Dining — Matisse Collection,2447-102Dining,Mazin,Dining Room,dining-sets,On request,,,FAIL,"shows $331 (= 'Side Chair Fabric') but this item is 'pc Set Round Table & Sides' = $2,803",Price withdrawn — now Price on request (no supplier line proves it)
2447-60RD Dining — Matisse Collection,2447-60RDDining,Mazin,Dining Room,dining-sets,On request,,,FAIL,"shows $331 (= 'Side Chair Fabric') but this item is 'pc Set Round Table & Sides' = $2,803",Price withdrawn — now Price on request (no supplier line proves it)
5503BK Dining — Yannis Collection,5503BKDining,Mazin,Dining Room,dining-sets,On request,,,FAIL,"shows $353 (= 'Side Chair Chrome Tube PU') but this item is 'pc Dining Set' = $3,443",Price withdrawn — now Price on request (no supplier line proves it)
5599N Dining — Glissand Collection,5599NDining,Mazin,Dining Room,dining-sets,On request,,,FAIL,"shows $252 (= 'Side Chair PU') but this item is 'pc Set' = $3,062",Price withdrawn — now Price on request (no supplier line proves it)
5709WH Dining — Blair Farm Collection,5709WHDining,Mazin,Dining Room,dining-sets,On request,,,FAIL,"no 'None' line in this collection; $2,196 is 'pc Pack Dinette'",Price withdrawn — now Price on request (no supplier line proves it)
5898 Dining — Aiden Collection,5898Dining,Mazin,Dining Room,dining-sets,On request,,,FAIL,no 'None' line in this collection; $255 is 'Side Chair',Price withdrawn — now Price on request (no supplier line proves it)
5982-36 Dining — Savile Collection,5982-36Dining,Mazin,Dining Room,dining-sets,On request,,,FAIL,"shows $268 (= 'Dining Chair w/ fabric') but this item is 'pc Dining Set' = $1,701",Price withdrawn — now Price on request (no supplier line proves it)
5982-60 Dining — Savile Collection,5982-60Dining,Mazin,Dining Room,dining-sets,On request,,,FAIL,"shows $268 (= 'Dining Chair w/ fabric') but this item is 'pc Dining Set' = $1,701",Price withdrawn — now Price on request (no supplier line proves it)
5985 Dining — Ogden Collection,5985Dining,Mazin,Dining Room,dining-sets,On request,,,FAIL,no 'None' line in this collection; $290 is 'Side Chair',Price withdrawn — now Price on request (no supplier line proves it)
5999 Dining — Soma Collection,5999Dining,Mazin,Dining Room,dining-sets,On request,,,FAIL,"shows $410 (= 'Dining chair') but this item is 'pc Dining Set' = $3,118",Price withdrawn — now Price on request (no supplier line proves it)
6022-36 Dining — Tyler Collection,6022-36Dining,Mazin,Dining Room,dining-sets,On request,,,FAIL,no 'None' line in this collection; $261 is 'Side Chair',Price withdrawn — now Price on request (no supplier line proves it)
6022-65 Dining — Tyler Collection,6022-65Dining,Mazin,Dining Room,dining-sets,On request,,,FAIL,no 'None' line in this collection; $261 is 'Side Chair',Price withdrawn — now Price on request (no supplier line proves it)
6022WH-36 Dining — Tyler Collection,6022WH-36Dining,Mazin,Dining Room,dining-sets,On request,,,FAIL,no 'None' line in this collection; $261 is 'Side Chair',Price withdrawn — now Price on request (no supplier line proves it)
6022WH-65 Dining — Tyler Collection,6022WH-65Dining,Mazin,Dining Room,dining-sets,On request,,,FAIL,no 'None' line in this collection; $261 is 'Side Chair',Price withdrawn — now Price on request (no supplier line proves it)
6048-78 Dining — Marais Collection,6048-78Dining,Mazin,Dining Room,dining-sets,On request,,,FAIL,"no 'None' line in this collection; $1,852 is 'Dining Table'",Price withdrawn — now Price on request (no supplier line proves it)
6048-82 Dining — Marais Collection,6048-82Dining,Mazin,Dining Room,dining-sets,On request,,,FAIL,"no 'None' line in this collection; $1,852 is 'Dining Table'",Price withdrawn — now Price on request (no supplier line proves it)
6048NG + 6054 Dining — Marais Collection,6048NG6054Dining,Mazin,Dining Room,dining-sets,On request,,,FAIL,"no 'None' line in this collection; $1,852 is 'Dining Table'",Price withdrawn — now Price on request (no supplier line proves it)
6048NG-82 Dining — Marais Collection,6048NG-82Dining,Mazin,Dining Room,dining-sets,On request,,,FAIL,"no 'None' line in this collection; $1,852 is 'Dining Table'",Price withdrawn — now Price on request (no supplier line proves it)
6050 Dining — Marais Collection,6050Dining,Mazin,Dining Room,dining-sets,On request,,,FAIL,"no 'None' line in this collection; $1,506 is 'Dining Table'",Price withdrawn — now Price on request (no supplier line proves it)
6066-54RD Dining — Clara Collection,6066-54RDDining,Mazin,Dining Room,dining-sets,On request,,,FAIL,no 'None' line in this collection; $378 is 'Side Chair',Price withdrawn — now Price on request (no supplier line proves it)
6066-84 Dining — Clara Collection,6066-84Dining,Mazin,Dining Room,dining-sets,On request,,,FAIL,no 'None' line in this collection; $378 is 'Side Chair',Price withdrawn — now Price on request (no supplier line proves it)
6066NN-54RD Dining — Clara Collection,6066NN-54RDDining,Mazin,Dining Room,dining-sets,On request,,,FAIL,no 'None' line in this collection; $378 is 'Side Chair',Price withdrawn — now Price on request (no supplier line proves it)
6066NN-84 Dining — Clara Collection,6066NN-84Dining,Mazin,Dining Room,dining-sets,On request,,,FAIL,no 'None' line in this collection; $378 is 'Side Chair',Price withdrawn — now Price on request (no supplier line proves it)
6099 Dining — Niche Collection,6099Dining,Mazin,Dining Room,dining-sets,On request,,,FAIL,"no 'None' line in this collection; $1,732 is 'Arm Chair'",Price withdrawn — now Price on request (no supplier line proves it)
9745BE Seating — Zander Collection,9745BESeating,Mazin,Décor,decor-objects,On request,,,FAIL,no 'None' line in this collection; $882 is 'Chair Taupe Chenille',Price withdrawn — now Price on request (no supplier line proves it)
9745DG Seating — Zander Collection,9745DGSeating,Mazin,Décor,decor-objects,On request,,,FAIL,no 'None' line in this collection; $882 is 'Chair Taupe Chenille',Price withdrawn — now Price on request (no supplier line proves it)
9746BE Seating — Chelsea Collection,9746BESeating,Mazin,Décor,decor-objects,On request,,,FAIL,no 'None' line in this collection; $882 is 'Chair Chenille',Price withdrawn — now Price on request (no supplier line proves it)
9746GY Seating — Chelsea Collection,9746GYSeating,Mazin,Décor,decor-objects,On request,,,FAIL,no 'None' line in this collection; $882 is 'Chair Chenille',Price withdrawn — now Price on request (no supplier line proves it)
9747BU Seating — Sarah Collection,9747BUSeating,Mazin,Décor,decor-objects,On request,,,FAIL,no 'None' line in this collection; $882 is 'Chair Chenille',Price withdrawn — now Price on request (no supplier line proves it)
